"","application_for","potential_voters","ballots_distributed","ballots_cast","final_voter_count","pass_rate","response_rate"
"1","Front Yard Parking",41,34,18,34,10,52.94
"2","Front Yard Parking",40,36,30,36,16,83.33
"3","Front Yard Parking",135,97,43,97,23,44.33
"4","Boulevard Cafe",120,106,30,106,16,28.3
"5","Appeal  Front Yard Parking",144,109,35,109,19,32.11
"6","Front Yard Parking",100,80,48,80,25,60
"7","Front Yard Parking",93,73,36,73,19,49.32
"8","Traffic Calming",48,43,24,43,15,55.81
"9","Traffic Calming",93,78,55,78,33,70.51
"10","Traffic Calming",106,90,54,90,33,60
"11","Traffic Calming",167,138,82,138,50,59.42
"12","Traffic Calming",326,271,134,271,81,49.45
"13","Traffic Calming",189,138,68,138,41,49.28
"14","Boulevard Cafe",110,92,27,92,15,29.35
"15","Boulevard Cafe",108,76,30,76,16,39.47
"16","Boulevard Cafe",174,146,50,146,26,34.25
"17","Appeal  Front Yard Parking",68,59,25,59,14,42.37
"18","Appeal  Front Yard Parking",216,75,29,75,16,38.67
"19","Appeal  Front Yard Parking",96,87,41,87,22,47.13
"20","Appeal  Front Yard Parking",73,59,41,59,22,69.49
"21","Appeal  Front Yard Parking",75,65,31,65,17,47.69
"22","Appeal  Front Yard Parking",135,113,56,113,29,49.56
"23","Traffic Calming",63,54,34,54,21,62.96
"24","Front Yard Parking",39,29,17,29,10,58.62
"25","Boulevard Cafe",82,66,26,66,14,39.39
"26","Boulevard Cafe",55,43,35,43,19,81.4
"27","Appeal  Front Yard Parking",129,67,33,67,18,49.25
"28","Appeal  Front Yard Parking",49,40,20,40,11,50
"29","Appeal  Front Yard Parking",92,84,47,84,25,55.95
"30","Appeal  Front Yard Parking",156,127,48,127,25,37.8
"31","Appeal  Front Yard Parking",119,101,27,101,15,26.73
"32","Appeal  Front Yard Parking",62,56,24,56,13,42.86
"33","Appeal  Front Yard Parking",34,30,26,30,14,86.67
"34","Appeal  Front Yard Parking",94,77,48,77,25,62.34
"35","Front Yard Parking",109,94,29,94,16,30.85
"36","Boulevard Cafe",123,98,28,98,15,28.57
"37","Boulevard Cafe",73,65,30,65,16,46.15
"38","Appeal  Front Yard Parking",119,99,42,99,22,42.42
"39","Appeal  Front Yard Parking",38,34,19,34,11,55.88
"40","Boulevard Cafe",341,315,104,315,53,33.02
"41","Traffic Calming",423,358,215,358,129,60.06
"42","Front Yard Parking",128,97,54,97,28,55.67
"43","Traffic Calming",77,69,44,69,27,63.77
"44","Traffic Calming",86,75,59,75,36,78.67
"45","Front Yard Parking",90,53,22,53,12,41.51
"46","Front Yard Parking",88,51,20,51,11,39.22
"47","Appeal  Front Yard Parking",187,154,54,154,28,35.06
"48","Appeal  Front Yard Parking",134,107,68,107,35,63.55
"49","Front Yard Parking",44,41,14,41,8,34.15
"50","Appeal  Front Yard Parking",85,74,45,74,24,60.81
"51","Appeal  Front Yard Parking",183,148,76,148,39,51.35
"52","Appeal  Front Yard Parking",113,97,60,97,31,61.86
"53","Proposed Business Improvement Area",1178,36,14,36,7,38.89
"54","Permit Parking",18,11,8,11,5,72.73
"55","Boulevard Cafe",108,93,35,93,19,37.63
"56","Appeal  Front Yard Parking",131,101,51,101,27,50.5
"57","Appeal  Front Yard Parking",135,111,54,111,28,48.65
"58","Appeal  Front Yard Parking",48,46,15,46,9,32.61
"59","Appeal  Front Yard Parking",42,35,27,35,15,77.14
"60","Appeal  Front Yard Parking",145,115,70,115,36,60.87
"61","Appeal  Front Yard Parking",140,123,38,123,20,30.89
"62","Appeal  Front Yard Parking",37,35,12,35,7,34.29
"63","Front Yard Parking",34,33,24,33,13,72.73
"64","Front Yard Parking",37,32,21,32,12,65.62
"65","Front Yard Parking",75,52,20,52,11,38.46
"66","Front Yard Parking",43,38,24,38,13,63.16
"67","Appeal  Front Yard Parking",71,49,25,49,14,51.02
"68","Front Yard Parking",93,68,23,68,13,33.82
"69","Appeal  Front Yard Parking",117,95,46,95,24,48.42
"70","Front Yard Parking",87,74,45,74,24,60.81
"71","Front Yard Parking",102,78,38,78,20,48.72
"72","Appeal  Front Yard Parking",117,85,37,85,20,43.53
"73","Commercial Boulevard Parking",54,28,11,28,7,39.29
"74","Front Yard Parking",111,103,49,103,26,47.57
"75","Front Yard Parking",29,28,13,28,8,46.43
"76","Front Yard Parking",135,114,32,114,17,28.07
"77","Front Yard Parking",81,65,30,65,16,46.15
"78","Front Yard Parking",149,102,54,102,28,52.94
"79","Front Yard Parking",135,100,63,100,33,63
"80","Front Yard Parking",112,100,47,100,25,47
"81","Front Yard Parking",44,39,17,39,10,43.59
"82","Front Yard Parking",165,144,46,144,24,31.94
"83","Front Yard Parking",56,46,21,46,12,45.65
"84","Front Yard Parking",38,37,24,37,13,64.86
"85","Appeal  Front Yard Parking",39,29,22,29,12,75.86
"86","Appeal  Front Yard Parking",110,84,39,84,21,46.43
"87","Appeal  Front Yard Parking",55,48,23,48,13,47.92
"88","Appeal  Front Yard Parking",183,147,66,147,34,44.9
"89","Appeal  Front Yard Parking",56,47,15,47,9,31.91
"90","Appeal  Front Yard Parking",45,42,19,42,11,45.24
"91","Front Yard Parking",58,50,31,50,17,62
"92","Front Yard Parking",114,91,32,91,17,35.16
"93","Front Yard Parking",186,146,44,146,23,30.14
"94","Appeal  Front Yard Parking",75,60,36,60,19,60
"95","Traffic Calming",41,34,23,34,14,67.65
"96","Front Yard Parking",75,62,32,62,17,51.61
"97","Front Yard Parking",90,79,42,79,22,53.16
"98","Boulevard Cafe",103,81,37,81,20,45.68
"99","Traffic Calming",372,305,206,305,124,67.54
"100","Traffic Calming",226,189,122,189,74,64.55
"101","Traffic Calming",347,297,199,297,120,67
"102","Traffic Calming",95,87,47,87,29,54.02
"103","Permit Parking",66,53,22,53,12,41.51
